variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
AG,60,0.0,2.091905021658572,0.6813490102594194,-0.2593984675743639,0.6129032258064516,3.0702400534229763,0.5099808852584757,32,1,31.0,0.5099808852584757
AG,60,0.01,2.091905021658572,0.6813490102594194,-0.2593984675743639,0.6129032258064516,3.0702400534229763,0.5099808852584757,32,1,31.0,0.5099808852584757
AG,60,0.03,2.091905021658572,0.6813490102594194,-0.2593984675743639,0.6129032258064516,3.0702400534229763,0.5099808852584757,32,1,31.0,0.5099808852584757
AG,60,0.05,2.091905021658572,0.6813490102594194,-0.2593984675743639,0.6129032258064516,3.0702400534229763,0.5099808852584757,32,1,31.0,0.5099808852584757
AG,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
AG,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
AG,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
AG,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
AG,10,0.0,-0.4332856533554509,0.835200746099833,-0.40132008143075903,0.48148148148148145,-0.5187802517883042,-0.008653198446241612,82,11,7.363636363636363,-0.18724741148912327
AG,10,0.01,-0.5875810209347763,0.8019449418733572,-0.4652963868310882,0.4714285714285714,-0.7326949647717421,-0.0234203953196504,71,10,7.0,-0.2762841636677684
AG,10,0.03,-0.7260907855445407,0.7234360289863799,-0.45130960751291693,0.4782608695652174,-1.0036696493563921,-0.04569196545379163,47,9,5.111111111111111,-0.3767220110184202
AG,10,0.05,-0.756929259647355,0.5724339707498887,-0.44733176285751175,0.44,-1.3222996857712297,-0.11725209871806314,25,4,6.25,-0.4033169813157458
AG,20,0.01,-0.8450555583815602,0.7957088263887111,-0.5576278854974175,0.4603174603174603,-1.062016067129489,-0.08364395464956052,64,7,9.0,-0.4937675636525052
AG,20,0.05,-0.8604366185266512,0.6802350377047387,-0.580658070859822,0.4666666666666667,-1.2649107600072351,-0.1389709138650927,46,4,11.25,-0.5127254644990152
AG,20,0.03,-0.8647071165019541,0.7373821664986915,-0.5799180654628495,0.4423076923076923,-1.1726715884760803,-0.09322899342129036,53,6,8.666666666666666,-0.5182226134603805
AG,20,0.0,-0.8883185741543544,0.816064258209741,-0.6256838496419572,0.4507042253521127,-1.0885399834850296,-0.20242089643423503,72,3,23.666666666666668,-0.5508023353999705
