variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
AL,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
AL,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
AL,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
AL,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
AL,20,0.03,-0.004062238406239982,0.2080236513829712,-0.09950741587228973,0.48936170212765956,-0.01952777186263983,0.0011136324387113206,47,7,6.714285714285714,-0.0013881784726981206
AL,60,0.0,-0.04790025937876652,0.12079537236187378,-0.08300310973633329,0.48,-0.39654051676142776,-0.016611869570723803,26,1,25.0,-0.016611869570723803
AL,60,0.01,-0.04790025937876652,0.12079537236187378,-0.08300310973633329,0.48,-0.39654051676142776,-0.016611869570723803,26,1,25.0,-0.016611869570723803
AL,60,0.03,-0.04790025937876652,0.12079537236187378,-0.08300310973633329,0.48,-0.39654051676142776,-0.016611869570723803,26,1,25.0,-0.016611869570723803
AL,60,0.05,-0.04790025937876652,0.12079537236187378,-0.08300310973633329,0.48,-0.39654051676142776,-0.016611869570723803,26,1,25.0,-0.016611869570723803
AL,20,0.01,-0.06443447769112276,0.24415837049408606,-0.14328675349670505,0.5,-0.26390443858521523,-0.0011215065576879457,57,6,9.333333333333334,-0.02247358963858137
AL,20,0.0,-0.06636477977749844,0.24569277385272373,-0.15560845948082724,0.5076923076923077,-0.27011286794002193,-0.0030809777583160136,66,7,9.285714285714286,-0.023162357458317517
AL,20,0.05,-0.21207748548219463,0.14725093058534414,-0.1266526601936372,0.46875,-1.4402454683250923,-0.015245308335596808,32,5,6.4,-0.07812307604299329
AL,10,0.05,-0.2231068862160005,0.17888628743926488,-0.11662890499742484,0.3939393939393939,-1.2471994886234603,-0.0114541129736999,33,7,4.714285714285714,-0.08254745720707346
AL,10,0.0,-0.3532614922274745,0.2503609212132267,-0.16780761529260935,0.44,-1.411008916709528,-0.010051325785673495,76,14,5.357142857142857,-0.1381981532409987
AL,10,0.01,-0.4235185596965573,0.24069196474253687,-0.1890528823407317,0.41935483870967744,-1.759587446758292,-0.016378257447488352,62,11,5.636363636363637,-0.17136504895143156
AL,10,0.03,-0.43119672987422475,0.23058640090241056,-0.17553225491095215,0.3877551020408163,-1.8700006946928196,-0.023341837878002855,49,8,6.125,-0.1751481562642767
