variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
A,60,0.0,0.2150248286583527,0.12282711592587141,-0.07537509788313312,0.5806451612903226,1.7506299568909884,0.015439004731627116,32,5,6.2,0.07369342555219882
A,60,0.03,0.19447284525017916,0.06849582816079917,-0.013707165109034247,0.75,2.839192553357255,0.010956429913895635,13,6,2.0,0.06702714439263224
A,20,0.01,0.17426193271364898,0.12293723413090626,-0.031485517857705814,0.6226415094339622,1.4174870123407124,0.006676488927800656,54,9,6.0,0.06040008867862334
A,60,0.01,0.12960587455108175,0.11555268563632627,-0.07663352696565628,0.5555555555555556,1.1216171553033778,0.009894485713088551,28,5,5.4,0.045496382544613745
A,10,0.01,0.08225330616508231,0.12631622513982482,-0.07935164305473219,0.5178571428571429,0.6511697612403522,0.0026899514052218057,57,12,4.75,0.029278214683159387
A,20,0.05,0.05034270321194012,0.03982895430623417,-0.011980440097799527,0.625,1.263972506656051,0.0060173018485661185,9,3,3.0,0.018093151928781248
A,10,0.0,0.022938304377980057,0.1541096623794537,-0.08616896567750154,0.5,0.14884403757566242,0.0011156200205187927,82,11,7.363636363636363,0.008314070910281801
A,20,0.03,0.014370474058111204,0.05163485727185907,-0.03384304471350397,0.5789473684210527,0.2783095532239051,0.0007661571052408611,20,7,2.857142857142857,0.0052226150299654606
A,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
A,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
A,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
A,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
A,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
A,10,0.03,-0.039553746997737615,0.09132227105274772,-0.08354168629317593,0.48,-0.4331226823618018,-0.0012076598731712075,26,10,2.6,-0.014625592867690385
A,20,0.0,-0.056450720864960724,0.15068912799603704,-0.06655837828893763,0.5428571428571428,-0.37461707832329694,-0.0018248016784115806,72,10,7.1,-0.0209901270885825
A,10,0.05,-0.15287023813804979,0.062250040734703145,-0.06238875954790213,0.2,-2.455745190425678,-0.019901518812771652,11,3,3.6666666666666665,-0.05876946093580271
