variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
BZ,60,0.0,1.1222678553585137,0.3496340472036414,-0.07648017381857697,0.6470588235294118,3.2098357249082734,0.09129471255325135,18,3,5.666666666666667,0.26227052628561776
BZ,20,0.01,1.0591442975025882,0.3370962551398157,-0.14675986671374763,0.4791666666666667,3.1419639979782397,0.034453671924767115,49,8,6.0,0.25052830908425516
BZ,20,0.03,0.8295760644780756,0.29062517508285385,-0.13795727511603706,0.42857142857142855,2.8544535559989708,0.05978779346497279,36,4,8.75,0.205601325774037
BZ,60,0.03,0.5955341483094954,0.20559568715225046,-0.016871165644171904,0.6666666666666666,2.896627631437047,0.15559131758424716,6,1,6.0,0.15559131758424716
BZ,60,0.01,0.5620087101986775,0.32866840007623116,-0.07648017381857686,0.6,1.7099566312682495,0.037378548659560196,16,4,3.75,0.14802049057754996
BZ,20,0.0,0.4445244728985607,0.39107851758272666,-0.15167078362381625,0.45614035087719296,1.1366629792047536,0.024466606004155084,58,7,8.142857142857142,0.120569147091796
BZ,10,0.05,0.07674640440271285,0.0892300940189047,-0.02995169082125615,0.4666666666666667,0.8600955232262,0.005773768412880381,15,4,3.75,0.023151325571844295
BZ,20,0.05,0.06827530780298074,0.15537832139710733,-0.07735770284536625,0.42105263157894735,0.4394133440821933,0.003582175989063833,19,6,3.1666666666666665,0.020653032601418042
BZ,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
BZ,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
BZ,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
BZ,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
BZ,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
BZ,10,0.0,-0.4837606695955914,0.3925437222709582,-0.2619545072339454,0.43283582089552236,-1.2323739806534713,-0.020419255630808833,68,8,8.375,-0.1850694946153928
BZ,10,0.01,-0.5240856874313775,0.38189202724369214,-0.26839769328174556,0.4074074074074074,-1.3723399548662194,-0.018988405033453427,55,10,5.4,-0.20532879762508127
BZ,10,0.03,-0.5325288147009246,0.2899957711928548,-0.2619545072339454,0.3684210526315789,-1.8363330351696023,-0.028070922206020525,38,7,5.428571428571429,-0.20971950726116906
