variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
B,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
B,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
B,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
B,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
B,10,0.05,-0.11657879181458752,0.057019617873615085,-0.03676516597081669,0.4117647058823529,-2.044538286331317,-0.009137611577897053,18,4,4.5,-0.03621864975292788
B,60,0.0,-0.1283353786614575,0.10720870018207403,-0.08368961363584837,0.5384615384615384,-1.1970612314439382,-0.04005389449359609,15,1,14.0,-0.04005389449359609
B,60,0.01,-0.1283353786614575,0.10720870018207403,-0.08368961363584837,0.5384615384615384,-1.1970612314439382,-0.04005389449359609,15,1,14.0,-0.04005389449359609
B,60,0.03,-0.1283353786614575,0.10720870018207403,-0.08368961363584837,0.5384615384615384,-1.1970612314439382,-0.04005389449359609,15,1,14.0,-0.04005389449359609
B,60,0.05,-0.1283353786614575,0.10720870018207403,-0.08368961363584837,0.5384615384615384,-1.1970612314439382,-0.04005389449359609,15,1,14.0,-0.04005389449359609
B,20,0.05,-0.148455059390038,0.09532666244380637,-0.07396496873339309,0.46153846153846156,-1.5573298758629048,-0.015709591082253265,28,3,9.333333333333334,-0.04670252143052689
B,20,0.03,-0.16001755021723651,0.112173876181323,-0.08718151795837048,0.5,-1.426513513347589,-0.012441139197841983,33,4,8.0,-0.050573449107509716
B,20,0.01,-0.21735578842756464,0.1309150059619941,-0.11955707552533212,0.4666666666666667,-1.6602816982696784,-0.014109672525489203,48,5,9.4,-0.07034302636723655
B,20,0.0,-0.23848735206187865,0.13945119244596094,-0.1374590131011748,0.44,-1.7101851040412972,-0.012971505422303556,55,6,9.0,-0.07788548688636387
B,10,0.0,-0.2957691366086501,0.20832950413270468,-0.18335529878507673,0.48333333333333334,-1.4197179503688873,-0.012256748788476143,65,8,8.0,-0.09909893665233949
B,10,0.01,-0.3785930261273278,0.18856961167826686,-0.19666822754167057,0.42857142857142855,-2.0077096344307828,-0.015138207206214775,54,9,5.888888888888889,-0.13202983262798196
B,10,0.03,-0.39505984029759766,0.16821221707997128,-0.15535902014682557,0.3870967741935484,-2.3485799495156687,-0.023820765551600454,33,6,5.5,-0.13893991571519038
