variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
CS,20,0.0,0.18179430503515825,0.09217011069005641,-0.037300318050961234,0.5714285714285714,1.9723780700067095,0.005382964760944853,44,8,5.375,0.043333946014412206
CS,10,0.0,0.13663348880299542,0.10319073501364102,-0.02563106796116499,0.5192307692307693,1.3240867872966844,0.003341408745726726,54,10,5.3,0.033060670638585865
CS,20,0.01,0.09356741388499845,0.063960975933025,-0.02649935781659185,0.6060606060606061,1.462882836293415,0.00466050284517665,35,5,6.8,0.022976222232128807
CS,20,0.03,0.08748982047187837,0.06011754032713135,-0.02563106796116499,0.5925925925925926,1.4553127089997355,0.010909215873826261,28,2,13.5,0.02152933940701174
CS,10,0.01,0.08112340830600262,0.09399558077064366,-0.025631067961164544,0.5,0.8630555568771886,0.0029005252785528584,45,7,6.428571428571429,0.020007214089196923
CS,60,0.0,0.078976714571795,0.06269698614275968,-0.01176470588235301,0.6666666666666666,1.2596572727111115,0.01949246046340547,4,1,3.0,0.01949246046340547
CS,60,0.01,0.078976714571795,0.06269698614275968,-0.01176470588235301,0.6666666666666666,1.2596572727111115,0.01949246046340547,4,1,3.0,0.01949246046340547
CS,60,0.03,0.078976714571795,0.06269698614275968,-0.01176470588235301,0.6666666666666666,1.2596572727111115,0.01949246046340547,4,1,3.0,0.01949246046340547
CS,60,0.05,0.078976714571795,0.06269698614275968,-0.01176470588235301,0.6666666666666666,1.2596572727111115,0.01949246046340547,4,1,3.0,0.01949246046340547
CS,20,0.05,0.04272372561329707,0.05247174389810977,-0.0256310679611651,0.55,0.8142234741856205,0.003614058041840081,21,3,6.666666666666667,0.010681727654690665
CS,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CS,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CS,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CS,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CS,10,0.03,-0.03951289831714233,0.06107602077168722,-0.027715390987407607,0.53125,-0.6469461798247861,-0.0016816541637694933,32,6,5.333333333333333,-0.010186423819694923
CS,10,0.05,-0.05293680769560616,0.045221508271389155,-0.02750349389497353,0.5,-1.170611280320748,-0.0034035693116520327,20,4,5.0,-0.013718231523584312
