variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
CU,20,0.0,0.5195540479351308,0.27668005051140676,-0.10235261967936793,0.6176470588235294,1.8778153573949525,0.006766887153626509,69,23,2.9565217391304346,0.15925113506865185
CU,20,0.01,0.28893072289038035,0.21404950152052107,-0.09865698839708958,0.6538461538461539,1.3498313279775631,0.005685526726095086,53,17,3.0588235294117645,0.0937807774396322
CU,10,0.01,0.2616751689035417,0.24314887927738357,-0.05928289310581403,0.5535714285714286,1.0761931935743096,0.004782034148440121,57,18,3.111111111111111,0.08555570220943287
CU,10,0.05,0.23593830487026923,0.08315155248684473,-0.009253903990746104,0.8,2.837449185420761,0.018994582740129218,5,4,1.25,0.0776827482062239
CU,20,0.05,0.19720244334586168,0.07236340583652581,0.0,1.0,2.7251680744733924,0.016120856999193467,4,4,1.0,0.0656309097346508
CU,10,0.03,0.17688942576800026,0.20052171657097156,-0.08177416320564945,0.6071428571428571,0.8821459779663964,0.0038211741203456467,29,16,1.75,0.05920991862770686
CU,20,0.03,0.1502332082986979,0.17335794978248695,-0.10909557270646286,0.72,0.8666069741087515,0.004249738761794046,26,13,1.9230769230769231,0.050674124498230055
CU,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CU,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CU,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CU,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CU,60,0.01,-0.0025025460164825875,0.16534531454678558,-0.05129317591229288,0.47619047619047616,-0.015135270227294375,-8.144264699638804e-06,22,7,3.0,-0.0008845520176048449
CU,60,0.0,-0.03278734181534115,0.18824754959489948,-0.06552271640745733,0.42857142857142855,-0.1741714135769527,-0.001364773474144749,29,7,4.0,-0.011704704409566613
CU,60,0.03,-0.036485502219699484,0.15821026685340062,-0.04918981481481477,0.5,-0.2306139983538954,-0.003158583636337975,11,4,2.5,-0.013040923898541834
CU,60,0.05,-0.09143534676566256,0.1541006941844417,-0.04918981481481477,0.4444444444444444,-0.5933480523859578,-0.011196605905272902,9,3,3.0,-0.033298618430880556
CU,10,0.0,-0.1414963563538354,0.2816342677195857,-0.10251020692017121,0.5128205128205128,-0.5024117182171838,-0.002057861431067584,79,23,3.391304347826087,-0.05245595284406013
