variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
CY,10,0.0,0.0806765512505061,0.0752031368741846,-0.02458370473692928,0.6363636363636364,1.0727817296435196,0.0035820344106441415,13,2,6.0,0.00710651110523286
CY,20,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CY,20,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CY,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CY,60,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CY,60,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CY,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CY,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CY,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CY,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CY,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CY,20,0.01,-0.010128632831263418,0.00307412464007802,-0.0009287206872532483,0.0,-3.2948022663799206,-0.0009287206872532483,1,1,1.0,-0.0009287206872532483
CY,10,0.01,-0.013749189514672078,0.0698380482410328,-0.02458370473692928,0.6,-0.19687247655059534,-0.0005531133919959297,12,2,5.5,-0.0012627950812370559
CY,20,0.0,-0.040012538298434985,0.009612169873475917,-0.0037200723407464498,0.0,-4.1626957102419375,-0.0037200723407464498,3,1,2.0,-0.0037200723407464498
CY,10,0.05,-0.0466436855230794,0.025718546005063153,-0.007124198527665548,0.5,-1.8136206266830468,-0.002165126039152865,2,2,1.0,-0.004350156707486619
CY,10,0.03,-0.05768598297694272,0.06848744046403538,-0.02458370473692928,0.5,-0.8422855721588136,-0.002604569588228245,8,2,3.5,-0.005408275889623337
