variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
EC,10,0.03,0.6990489638224906,0.6816935477764893,-0.1615357938167724,0.6363636363636364,1.0254592640675715,0.02225205013121842,11,4,2.75,0.07639839353506117
EC,20,0.03,0.6988627878393485,0.7180110680386397,-0.15085362440526162,0.6666666666666666,0.9733314971709313,0.04227929093288074,9,2,4.5,0.07638201108713738
EC,10,0.05,0.33169221076936206,0.6778472613749434,-0.1615357938167724,0.5555555555555556,0.4893317855951185,0.014028796679327105,9,4,2.25,0.04058680315509333
EC,10,0.0,0.32556834009427194,0.9124237561685689,-0.25383911972861073,0.5833333333333334,0.3568170358270721,0.009681210050942135,25,5,4.8,0.03992087182087434
EC,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
EC,60,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
EC,60,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
EC,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
EC,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
EC,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
EC,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
EC,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
EC,10,0.01,-0.12208731340610612,0.8800901580969673,-0.25383911972861073,0.631578947368421,-0.13872137108100085,-0.00197903895374546,20,6,3.1666666666666665,-0.017921920744647823
EC,20,0.05,-0.14919835523460467,0.6336911297447815,-0.15085362440526162,0.5,-0.23544333860992211,0.0012927048544230841,4,3,1.3333333333333333,-0.02219121807104074
EC,20,0.01,-0.6141784253966116,0.8730146340574657,-0.25383911972861084,0.5454545454545454,-0.7035144674976704,-0.12389999699613197,11,1,11.0,-0.12389999699613197
EC,20,0.0,-0.7261939822947131,0.8808865846588787,-0.25383911972861073,0.5,-0.8243898759974079,-0.05696643141915455,15,3,4.666666666666667,-0.1646526835453197
