variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
EG,10,0.01,3.3598883711436436,0.3148308793128759,-0.06351968675222963,0.639344262295082,10.672042013403072,0.06707609991706741,63,9,7.0,0.6722794746966014
EG,10,0.03,2.5119968971976308,0.28102289830992844,-0.06351968675222985,0.7435897435897436,8.938762329706151,0.06302419748710333,40,8,5.0,0.5506399322479827
EG,10,0.0,2.278640766426855,0.3692954356518295,-0.08162899174739868,0.56,6.17023809786577,0.039189792836917425,78,12,6.416666666666667,0.5138524961633706
EG,10,0.05,1.0193090622965384,0.2605345248389718,-0.06351968675222985,0.6190476190476191,3.912376154087606,0.07145202156092562,21,4,5.25,0.278140962542772
EG,20,0.0,0.8472226285666571,0.3729879304070768,-0.10171896372502498,0.6,2.2714478391888,0.04060621278997264,68,6,11.166666666666666,0.23899687448354534
EG,20,0.01,0.6649489374177691,0.3659966073376102,-0.08390695892461641,0.603448275862069,1.816817216571609,0.02511956069478151,60,8,7.375,0.1948533526280387
EG,20,0.05,0.611842830052564,0.31747943965732195,-0.08162899174739868,0.68,1.9271888305994533,0.026765399456051418,26,7,3.5714285714285716,0.18140390021788955
EG,20,0.03,0.5621866806036695,0.3460069952730836,-0.08390695892461641,0.6341463414634146,1.6247841468059558,0.019801811756154624,42,9,4.555555555555555,0.1685647172831155
EG,60,0.03,0.3306593456101561,0.3160784087460324,-0.10171896372502509,0.6,1.0461307588897646,0.06078665750805212,27,2,13.0,0.104905016041833
EG,60,0.0,0.23399292127137072,0.3194381762713728,-0.125068102971015,0.5769230769230769,0.7325139530992889,0.048854684018928785,28,2,13.5,0.07618507202505165
EG,60,0.01,0.23399292127137072,0.3194381762713728,-0.125068102971015,0.5769230769230769,0.7325139530992889,0.048854684018928785,28,2,13.5,0.07618507202505165
EG,60,0.05,0.01458182510720718,0.2841385479546617,-0.1047063887937425,0.6,0.05131941868561219,0.0025314068470358997,22,4,5.25,0.005068096683563894
EG,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
EG,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
EG,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
EG,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
