variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
IC,10,0.0,0.177100250804622,0.2623883829961061,-0.11895955531574431,0.5844155844155844,0.6749546179689296,0.007485439064996213,78,8,9.625,0.058591755072345375
IC,10,0.01,0.09580470043984524,0.2456798615213263,-0.11166365331261863,0.5483870967741935,0.389957483070011,0.0031409582098000286,62,12,5.166666666666667,0.03246436564511668
IC,10,0.03,0.024054488634756455,0.10111143680296623,-0.08282380690525104,0.4666666666666667,0.23790076963925397,0.0030895221197163036,15,4,3.75,0.008335088016879322
IC,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IC,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IC,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IC,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IC,10,0.05,-0.06253751561819465,0.03773475568453891,-0.02229885729315839,0.0,-1.6572921828620235,-0.02229885729315839,1,1,1.0,-0.02229885729315839
IC,60,0.05,-0.09451429205950823,0.08716422279957294,-0.056837439707991266,0.3333333333333333,-1.0843243824571944,-0.03407639160474529,4,1,3.0,-0.03407639160474529
IC,20,0.05,-0.10088010603759934,0.06735458812255196,-0.03645319620088716,0.3333333333333333,-1.497746610135119,-0.00914851013652282,6,4,1.5,-0.03645319620088716
IC,20,0.03,-0.1285836445142704,0.2054059933706188,-0.1385941969274268,0.5,-0.6259975300830875,-0.0033575536405045605,43,12,3.5,-0.04692640547390459
IC,60,0.03,-0.36390471989322026,0.13756000876477267,-0.16625648836904217,0.23076923076923078,-2.64542524503249,-0.030745845585436738,14,5,2.6,-0.14613601606347681
IC,60,0.0,-0.3795540460580237,0.17964151580967713,-0.1734775062747521,0.4074074074074074,-2.1128414795839605,-0.07952556546067363,28,2,13.5,-0.15353129654366326
IC,60,0.01,-0.46482329765625197,0.170231037210181,-0.21506576747363948,0.30434782608695654,-2.730543767305744,-0.10281901654118392,24,2,11.5,-0.19612319428786174
IC,20,0.01,-0.4776817406826048,0.2471397876583779,-0.23573797915723216,0.4153846153846154,-1.932840297422711,-0.053686763392976344,66,4,16.25,-0.20292133666462864
IC,20,0.0,-0.5144397650554969,0.2499438084680635,-0.25496753543633754,0.40298507462686567,-2.058221678738761,-0.11840414648178255,68,2,33.5,-0.22297659074958198
