variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
IF,60,0.03,0.07939027499410978,0.03500056483034144,-0.0004241961482989165,0.6666666666666666,2.2682569661072325,0.013441561378710998,3,2,1.5,0.027037126294691127
IF,60,0.05,0.023885747136569435,0.014006681012682686,0.0,1.0,1.7053109951559196,0.008277063820518515,1,1,1.0,0.008277063820518515
IF,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IF,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IF,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IF,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IF,20,0.05,-0.007200600599870044,0.04873946074396521,-0.01835493206279004,0.5,-0.14773656683843395,-0.0003929291677221373,13,6,2.0,-0.002520410498477288
IF,10,0.05,-0.04227428850689352,0.018040517334461652,-0.014970381435091329,0.0,-2.343296909015998,-0.007512902698186219,2,2,1.0,-0.014970381435091329
IF,20,0.0,-0.04699377176919062,0.1402143458752771,-0.0777028013025397,0.4925373134328358,-0.335156659440485,-0.0020621780781614474,68,7,9.571428571428571,-0.016668165469633456
IF,20,0.01,-0.12412488110400843,0.11683934463858531,-0.07647027405105666,0.5,-1.0623551637332374,-0.00890925068410917,57,5,11.2,-0.045226300883081105
IF,20,0.03,-0.1287116835042259,0.09805510894764029,-0.07647027405105644,0.5,-1.3126463769772128,-0.011742158856547086,37,4,9.0,-0.046975309640998386
IF,10,0.03,-0.1529782655214953,0.061847531909762665,-0.06000318492268175,0.375,-2.4734740546267067,-0.009604244511126717,16,6,2.6666666666666665,-0.056329626523694554
IF,60,0.01,-0.16765968635384199,0.09089618767179296,-0.07147804465333318,0.47368421052631576,-1.8445183527303246,-0.015785742112070927,20,4,4.75,-0.06207399207179065
IF,60,0.0,-0.1772867004744786,0.10373159663785188,-0.07524254096577776,0.5185185185185185,-1.7090906360327467,-0.016701687622691613,28,4,6.75,-0.06587661513079346
IF,10,0.0,-0.2820968968539168,0.14792764989843443,-0.1275814486947351,0.4805194805194805,-1.9069923509742877,-0.012401537814618786,78,9,8.555555555555555,-0.10928805980359613
IF,10,0.01,-0.304673514249692,0.12093598455264529,-0.12800315017597552,0.4,-2.5192957693833713,-0.01782691969088893,51,7,7.142857142857143,-0.11917158278064888
