variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
IM,60,0.0,0.5564955189476251,0.16907026474360196,-0.05568273210917629,0.5384615384615384,3.291504391925809,0.08067790873710468,27,2,13.0,0.16502908122545024
IM,60,0.01,0.19767999286760007,0.1390225333336489,-0.05568273210917629,0.4782608695652174,1.4219277129210088,0.06425629276325151,23,1,23.0,0.06425629276325151
IM,60,0.03,0.12817324077899528,0.13464866720657545,-0.05568273210917629,0.45454545454545453,0.951908722441005,0.04251453687602735,22,1,22.0,0.04251453687602735
IM,60,0.05,0.0704670950723052,0.1033604108822078,-0.05568273210917629,0.5333333333333333,0.6817609805422631,0.007910769761044026,15,3,5.0,0.023787534652139675
IM,10,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IM,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IM,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IM,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IM,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
IM,20,0.05,-0.15753794242825847,0.0932694030727071,-0.08295634051885681,0.375,-1.6890634788929821,-0.027599772376705578,9,2,4.0,-0.05746574100652169
IM,10,0.03,-0.2619734078015693,0.1144345754054114,-0.1327315561529121,0.3125,-2.2892854443114494,-0.017083125903814184,17,6,2.6666666666666665,-0.09956279308731841
IM,20,0.03,-0.3341799879179955,0.16824186674217462,-0.17956897488999102,0.3939393939393939,-1.9863069424337514,-0.06734827157268003,34,2,16.5,-0.1310074496108974
IM,20,0.0,-0.4248940714932439,0.2526259826738758,-0.22002294821732682,0.4393939393939394,-1.6819096238479765,-0.014679085993270289,67,12,5.5,-0.17385590411733276
IM,20,0.01,-0.45779831713344654,0.1854013296549225,-0.235727516364707,0.38095238095238093,-2.4692288776219775,-0.03956077866587089,43,5,8.4,-0.19049002972871054
IM,10,0.01,-0.46594212689290837,0.2181164797865121,-0.24933965595332586,0.40425531914893614,-2.1362078067139305,-0.029375978502939666,48,7,6.714285714285714,-0.1947085073188778
IM,10,0.0,-0.49935044449045485,0.25398307048058005,-0.2589770509919571,0.4342105263157895,-1.966077674175673,-0.056552056588793115,77,4,19.0,-0.2124690447474693
