variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
I,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
I,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
I,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
I,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
I,20,0.05,-0.0023234991018261653,0.084883427263934,-0.059337913803872544,0.5625,-0.02737282384465399,-0.00015682232593827727,16,2,8.0,-0.0008119948760870743
I,60,0.05,-0.08208460945022533,0.03283009442003773,-0.029466680520242927,0.25,-2.5002855124329244,-0.007429168077998649,4,4,1.0,-0.029466680520242927
I,10,0.0,-0.08387013404247912,0.15703282574861868,-0.09868545545463048,0.5324675324675324,-0.5340930066223232,-0.0023867993214912175,78,12,6.416666666666667,-0.03012635679398379
I,20,0.0,-0.08891554004442614,0.15499649379119912,-0.08896312035627296,0.5522388059701493,-0.5736616220764786,-0.003369206202787701,68,9,7.444444444444445,-0.031994956665624685
I,20,0.03,-0.09826230564908633,0.10643634804061736,-0.059337913803872544,0.52,-0.9232025286285498,-0.006869004755479935,25,5,5.0,-0.03547446624404682
I,20,0.01,-0.10340443486080364,0.1265102243550659,-0.061972326411972145,0.5111111111111111,-0.8173602994378294,-0.006221181337963251,46,6,7.5,-0.037398737399249926
I,10,0.03,-0.11498675552468862,0.06904447396894484,-0.05430711610486916,0.36363636363636365,-1.6654012828949631,-0.00702068833457542,22,6,3.6666666666666665,-0.04175949881517538
I,10,0.05,-0.13546363065240286,0.0575620895106183,-0.054307116104868935,0.2222222222222222,-2.353348042159142,-0.04956085319949832,9,1,9.0,-0.04956085319949832
I,10,0.01,-0.1400027757536304,0.14724246149387538,-0.1050900067308086,0.4915254237288136,-0.9508315355041378,-0.00418203696149642,60,12,4.916666666666667,-0.05130643712116656
I,60,0.03,-0.17200736956478435,0.07280871337223185,-0.0637877415603062,0.35294117647058826,-2.362455832523822,-0.01617248015463546,17,4,4.25,-0.0637877415603062
I,60,0.0,-0.26424015730310035,0.08574250714326705,-0.10161313582263976,0.37037037037037035,-3.081787156766734,-0.05198189512099899,28,2,13.5,-0.10161313582263976
I,60,0.01,-0.2782500193256745,0.08468726520221423,-0.10762424014499439,0.34615384615384615,-3.2856181937304947,-0.03705668106310526,27,3,8.666666666666666,-0.10762424014499439
