variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
J,60,0.0,0.1122934796982249,0.05348519828897682,0.0,1.0,2.0995244159236544,0.026529507309149825,2,1,1.0,0.026529507309149825
J,60,0.01,0.1122934796982249,0.05348519828897682,0.0,1.0,2.0995244159236544,0.026529507309149825,2,1,1.0,0.026529507309149825
J,60,0.03,0.1122934796982249,0.05348519828897682,0.0,1.0,2.0995244159236544,0.026529507309149825,2,1,1.0,0.026529507309149825
J,60,0.05,0.1122934796982249,0.05348519828897682,0.0,1.0,2.0995244159236544,0.026529507309149825,2,1,1.0,0.026529507309149825
J,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
J,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
J,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
J,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
J,20,0.0,-0.024586421622092014,0.2559201182974615,-0.08952242813043232,0.5365853658536586,-0.09607068715682089,-0.001707548880863663,42,3,13.666666666666666,-0.0061059267588867705
J,20,0.01,-0.024952121985379883,0.23963364927434924,-0.08952242813043221,0.5405405405405406,-0.10412611943664456,-0.0010462326841674807,38,4,9.25,-0.006197618292330009
J,10,0.01,-0.03264142094484279,0.29411262490326556,-0.09257385994213241,0.5652173913043478,-0.1109827262790186,-0.0011903183676996276,46,5,9.2,-0.008131576852112188
J,10,0.0,-0.04011125448196562,0.3059396927514667,-0.08952242813043254,0.5686274509803921,-0.13110837015369042,-0.0015440033589535051,52,5,10.2,-0.010021467944124174
J,20,0.05,-0.08217845815991076,0.17578751741507348,-0.08395294691596644,0.5,-0.46748744944084464,-0.003962640138043305,15,5,2.8,-0.02087678818202321
J,20,0.03,-0.09610770022788584,0.20055650877475503,-0.08952242813043243,0.5384615384615384,-0.4792050919465515,-0.0046908293362671,27,5,5.2,-0.024553821128056263
J,10,0.05,-0.12416676255032744,0.166986350590766,-0.08952242813043232,0.5,-0.7435743227578123,-0.016023535292467472,12,2,6.0,-0.032092529084828625
J,10,0.03,-0.21202299403703573,0.22969193018400277,-0.09294856439219801,0.55,-0.923075503206348,-0.018839996909710017,20,3,6.666666666666667,-0.05694060352795727
