variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
LH,20,0.0,0.29730581397129097,0.16718111034430544,-0.0703580349708578,0.546875,1.7783457315183329,0.011938626853467,66,8,8.125,0.09289376866978571
LH,60,0.0,0.20238654412528834,0.10827327987471745,-0.041991186983660334,0.56,1.8692196667494412,0.008220207692199943,26,8,3.125,0.06491915733937859
LH,20,0.01,0.18145027525977553,0.1483854059217969,-0.06685366993922393,0.5121951219512195,1.2228310064091121,0.0056375532033777764,42,11,3.727272727272727,0.05855446506686102
LH,10,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LH,20,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LH,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LH,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LH,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LH,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LH,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LH,60,0.01,-0.015567716412931198,0.06736815272113221,-0.024343675417661137,0.4444444444444444,-0.2310842109234187,-0.001142077594206481,10,4,2.25,-0.0053402701833040744
LH,10,0.0,-0.017313468198056126,0.17927667570898503,-0.08102200156581951,0.5135135135135135,-0.09657401404609157,2.3991774097495422e-05,76,16,4.6875,-0.005942584146841456
LH,60,0.03,-0.03372019649497171,0.019921719644290445,-0.01163793103448274,0.0,-1.6926348275680059,-0.01163793103448274,1,1,1.0,-0.01163793103448274
LH,10,0.03,-0.03586022238622344,0.022892841438862246,-0.01657562663297829,0.3333333333333333,-1.5664382458591677,-0.006211297917368852,3,2,1.5,-0.012385492958640776
LH,10,0.01,-0.05443123489103896,0.13447912214241398,-0.10572717514270402,0.5,-0.4047560247559918,-0.0009600519052045985,41,17,2.3529411764705883,-0.01891916021005413
LH,20,0.03,-0.0735771955835185,0.037846192660573125,-0.025744214335206794,0.4,-1.9441108975849164,-0.00855300860232755,5,3,1.6666666666666667,-0.025744214335206794
