variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
LU,10,0.01,0.3267982778943874,0.6193545273751543,-0.1965874362407376,0.48,0.5276433180836987,0.009113008523588807,25,5,5.0,0.04590644971146296
LU,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LU,60,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LU,60,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LU,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LU,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LU,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LU,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LU,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
LU,10,0.05,-0.0893263982684861,0.5228308303586133,-0.1965874362407376,0.5384615384615384,-0.170851436223102,-0.00207339737486667,13,4,3.25,-0.014742742794262576
LU,10,0.03,-0.3302031866947144,0.5365744355463661,-0.1965874362407377,0.45454545454545453,-0.6153912017043554,-0.013686910100194905,22,4,5.5,-0.061634748750144186
LU,10,0.0,-0.4337863594334278,0.6886014121258477,-0.1965874362407376,0.4827586206896552,-0.6299527590195382,-0.016830762804605583,30,5,5.8,-0.0863275533839356
LU,20,0.05,-0.4416477068644761,0.4656206401193674,-0.10449265723631096,0.4,-0.9485140236722635,-0.02949570946962247,5,3,1.6666666666666667,-0.08835298366383604
LU,20,0.0,-0.8106022624169509,0.6613698834952253,-0.2949162621584108,0.47368421052631576,-1.2256413281673157,-0.0776709047431305,20,3,6.333333333333333,-0.23211252261768245
LU,20,0.01,-0.8243968321246847,0.6599642687746019,-0.2949162621584105,0.4444444444444444,-1.2491537362399867,-0.08089600791937364,19,3,6.0,-0.24127481638190296
LU,20,0.03,-0.9001717641015831,0.6242610481300739,-0.3099222786448571,0.3333333333333333,-1.4419797083255133,-0.08392687713239655,12,4,3.0,-0.30633252305641234
