variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
L,60,0.03,1.095459337037393,0.27967479155726566,-0.06353040008400712,0.55,3.91690409756894,0.2871907626168495,21,1,20.0,0.2871907626168495
L,60,0.0,0.9794915513150337,0.28386768602467466,-0.06353040008400712,0.56,3.4505214913045554,0.26242276625856453,26,1,25.0,0.26242276625856453
L,60,0.01,0.9794915513150337,0.28386768602467466,-0.06353040008400712,0.56,3.4505214913045554,0.26242276625856453,26,1,25.0,0.26242276625856453
L,10,0.03,0.7822740230588234,0.19296893381562003,-0.02835081249279714,0.5925925925925926,4.05388581255405,0.018443992612844472,27,11,2.4545454545454546,0.21800766123629955
L,60,0.05,0.7211929018965215,0.2507428462857731,-0.06353040008400712,0.6,2.876225234655643,0.06532667912244783,16,3,5.0,0.20359815093282108
L,10,0.0,0.2287413815529633,0.3108182059098645,-0.13455043140865308,0.5066666666666667,0.7359330219520571,0.007072848046768008,76,12,6.25,0.07282816220053845
L,10,0.01,0.1566852849797351,0.28430475754632123,-0.12412315052563605,0.5483870967741935,0.5511173514365361,0.00481713775646848,62,12,5.166666666666667,0.05092916576889661
L,20,0.05,0.058567247137014666,0.07712045735346647,-0.04595258540236902,0.5,0.7594255680899712,0.0066878663836674,14,3,4.666666666666667,0.019613700310723958
L,20,0.01,0.03753181119976534,0.27278938686713206,-0.1651572669247382,0.5576923076923077,0.13758530575841654,0.0023362333525018125,52,8,6.5,0.012653347056864828
L,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
L,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
L,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
L,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
L,10,0.05,-0.09861273533686044,0.05002215645479669,-0.03481041553508524,0.25,-1.971381130399154,-0.011592796148862328,8,3,2.6666666666666665,-0.03481041553508524
L,20,0.0,-0.21595114634988832,0.3089608662054781,-0.26743541550242345,0.5538461538461539,-0.6989595446248764,-0.007542402630461714,66,8,8.125,-0.07967229756107441
L,20,0.03,-0.23291454423608038,0.16351073738356509,-0.15101435624339754,0.5161290322580645,-1.4244602401229907,-0.012422860950816223,31,7,4.428571428571429,-0.08651663232666063
