variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
MA,20,0.0,0.9233694882193646,0.4473417412934854,-0.09929328621908129,0.5238095238095238,2.064125483907333,0.02045214251610376,66,12,5.416666666666667,0.25009218486651497
MA,20,0.01,0.9222842117208818,0.4022711801090551,-0.0992932862190814,0.5384615384615384,2.2926927339682948,0.017232956449309556,54,14,3.7857142857142856,0.24985141709291203
MA,20,0.03,0.9118813373421402,0.3943835017563254,-0.09929328621908118,0.5405405405405406,2.3121690772591115,0.02176261653317223,39,11,3.4545454545454546,0.24753899140594093
MA,10,0.05,0.8621259542254385,0.3027068245971392,-0.06326469710534166,0.5555555555555556,2.8480558883097813,0.026106346358551233,19,9,2.111111111111111,0.23636284937751562
MA,20,0.05,0.6255959565315234,0.37224476680571167,-0.09929328621908129,0.5555555555555556,1.680603764828869,0.018040757583041002,28,10,2.7,0.18035390196449663
MA,10,0.0,0.3322934259306085,0.4507327373292392,-0.20008804195988406,0.5342465753424658,0.7372294009518188,0.009998573386680984,76,14,5.357142857142857,0.10286456466395122
MA,10,0.03,0.25692723508596904,0.3839644294785461,-0.15758188583991928,0.5416666666666666,0.669143325163991,0.006880283757752158,51,14,3.5714285714285716,0.08116394570882712
MA,60,0.05,0.17246614159214535,0.38574126286443855,-0.1286549372020368,0.5789473684210527,0.44710317042943704,0.018220981624676613,20,4,4.75,0.055800472049047256
MA,60,0.03,0.10078108241583505,0.39331092365945425,-0.15836613800786203,0.5714285714285714,0.2562376897090601,0.010299267051761318,22,5,4.2,0.033311538777727856
MA,10,0.01,0.03620329447998727,0.44343920081451227,-0.23661496230746892,0.5076923076923077,0.08164207046532829,0.0023742912732847604,68,15,4.466666666666667,0.012210649050711897
MA,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
MA,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
MA,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
MA,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
MA,60,0.0,-0.009365525602647584,0.420969026587689,-0.19420345428285601,0.6,-0.02224754081924533,0.012880512329276117,26,2,12.5,-0.0032060819662198536
MA,60,0.01,-0.05371866032095274,0.42011868526330054,-0.20670180656455217,0.5833333333333334,-0.1278654394704813,0.003419556932746056,25,3,8.0,-0.01866690964791562
