variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
M,60,0.05,0.39346807901241565,0.10946880794370899,-0.02909561218624257,0.65,3.5943396699336003,0.06067911943302445,20,2,10.0,0.1198915524319395
M,60,0.0,0.29375010761443177,0.11435902912918136,-0.053388746803069376,0.56,2.5686656300886224,0.09187058911057999,26,1,25.0,0.09187058911057999
M,60,0.01,0.29375010761443177,0.11435902912918136,-0.053388746803069376,0.56,2.5686656300886224,0.09187058911057999,26,1,25.0,0.09187058911057999
M,60,0.03,0.29375010761443177,0.11435902912918136,-0.053388746803069376,0.56,2.5686656300886224,0.09187058911057999,26,1,25.0,0.09187058911057999
M,20,0.0,0.11044879056772783,0.1404406508296192,-0.05338874680306893,0.46875,0.7864445936078927,0.005790463294639741,66,7,9.285714285714286,0.03639969848064739
M,20,0.03,0.011969002335826318,0.11466484460976561,-0.053388746803069265,0.37142857142857144,0.10438249296512768,0.0011733388840786396,36,4,8.75,0.004068662821265168
M,20,0.05,0.01185095229331079,0.0745571802718968,-0.04319467077158501,0.3333333333333333,0.15895118686211673,0.0024466991961327733,18,2,9.0,0.004028688881986264
M,20,0.01,0.0033955984279798734,0.1332660689314648,-0.06931866577498202,0.4339622641509434,0.02547984235751817,0.0007080245688638584,55,7,7.714285714285714,0.0011575217549855132
M,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
M,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
M,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
M,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
M,10,0.03,-0.037472164646124795,0.1527304225577221,-0.09983633387888702,0.4090909090909091,-0.2453483989541296,-0.0017044527166878432,22,4,5.5,-0.012949304753853697
M,10,0.05,-0.07529762757421832,0.034201931367449444,-0.034410112359550604,0.2,-2.2015606886422896,-0.026362038664323295,10,1,10.0,-0.026362038664323295
M,10,0.0,-0.12192346963002043,0.18569545750488525,-0.13034535839655637,0.4864864864864865,-0.656577555898549,-0.005179815287805438,76,7,10.714285714285714,-0.04340236984466317
M,10,0.01,-0.19212754533366427,0.17732622417764574,-0.15949721573932296,0.38461538461538464,-1.0834694429696452,-0.006123459922478291,52,10,5.2,-0.07022279985553226
