variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
OI,60,0.0,0.306984051837238,0.10225211685898923,-0.02522602056498502,0.5416666666666666,3.002226861088698,0.047334429258027444,26,2,12.5,0.09566942529579103
OI,60,0.01,0.19672716387452427,0.09029335803878256,-0.02475596305617156,0.5238095238095238,2.178755648782345,0.03234040743597788,23,2,11.0,0.06320593465048563
OI,60,0.03,0.09570282463869884,0.05637680638609035,-0.017771441479734418,0.5833333333333334,1.6975566864020033,0.01582230316178701,14,2,6.5,0.031682227529519214
OI,60,0.05,0.014448376085217873,0.04116959833907272,-0.01679334267173682,0.5714285714285714,0.3509477057857373,0.0025847432823996597,8,2,4.0,0.00490751606188633
OI,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
OI,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
OI,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
OI,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
OI,20,0.0,-0.04331663557125087,0.1837593747626269,-0.10535353523895874,0.47619047619047616,-0.23572476575524698,-0.0007657620205814524,66,14,4.642857142857143,-0.014998766782732598
OI,20,0.01,-0.060590436808626746,0.17981831510157534,-0.09222455147936248,0.45454545454545453,-0.3369536455416155,-0.0016447103864759864,57,11,5.181818181818182,-0.02110474736881518
OI,20,0.03,-0.13691782399604568,0.13735726423873618,-0.0863430936213413,0.3870967741935484,-0.9968007498902518,-0.004253086591964398,32,11,2.909090909090909,-0.04900873773688319
OI,10,0.05,-0.24968517330939266,0.09965470723458605,-0.09347424646898861,0.3,-2.5055030538761867,-0.015857856205742187,21,6,3.5,-0.09338191343236901
OI,20,0.05,-0.2950682808442632,0.08662523985100702,-0.11248200232144956,0.17647058823529413,-3.406262208933243,-0.02341195252642967,18,5,3.6,-0.11248200232144956
OI,10,0.03,-0.335885101933162,0.1526056242775221,-0.14226367941605123,0.3902439024390244,-2.2010008053329386,-0.012333600189222098,42,11,3.8181818181818183,-0.13036507508815476
OI,10,0.01,-0.33668983858172696,0.17740060652948972,-0.1644299081128896,0.4262295081967213,-1.8979069190823663,-0.011293173494636497,64,12,5.25,-0.1307248400394072
OI,10,0.0,-0.39506003052212113,0.18209529709131098,-0.1994202661729375,0.3835616438356164,-2.1695235233012076,-0.010376563723887865,76,16,4.6875,-0.1576259405483431
