variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
PB,20,0.05,0.17905824700709427,0.05255088789961531,-0.007614986293024706,0.6666666666666666,3.407330573541176,0.012235975508552599,14,2,6.5,0.024479312379141582
PB,20,0.03,0.07026108865560876,0.06518138492032974,-0.021621621621621623,0.6153846153846154,1.0779318165989855,0.005176768875785165,15,2,7.0,0.010019694456673056
PB,10,0.05,0.023118340981777674,0.07067933157179902,-0.021621621621621623,0.6,0.32708771387138963,0.0016905073470354637,17,2,8.0,0.003361354751590717
PB,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PB,60,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PB,60,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PB,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PB,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PB,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PB,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PB,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PB,20,0.0,-0.031145066792923393,0.08040425747739412,-0.03581706538073837,0.6,-0.38735594071843665,-0.002283389303129213,17,2,8.0,-0.004634838068896419
PB,20,0.01,-0.031145066792923393,0.08040425747739412,-0.03581706538073837,0.6,-0.38735594071843665,-0.002283389303129213,17,2,8.0,-0.004634838068896419
PB,10,0.01,-0.045509025007504755,0.08288020508104092,-0.02469486795457876,0.5909090909090909,-0.5490940202549652,-0.003391895121259536,25,2,12.0,-0.006815369187083475
PB,10,0.03,-0.04925693546735266,0.08193523618233843,-0.02292058988473733,0.5789473684210527,-0.601169139950197,-0.0036913157740919855,21,2,10.0,-0.00738892696402893
PB,10,0.0,-0.09291427813976605,0.0841039656876394,-0.031962417373694985,0.5416666666666666,-1.1047550181503685,-0.007080584660676514,27,2,13.0,-0.014216148850368815
