variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
PG,10,0.05,0.13414087767075533,0.2332638956137024,-0.1054341474475825,0.4666666666666667,0.5750606081487204,0.0082425151614647,30,6,5.0,0.04389351533127139
PG,10,0.03,0.07872489687046302,0.279582982826319,-0.08122287028193886,0.4722222222222222,0.28157971588481145,0.004529700492319359,36,6,6.0,0.026198629131173323
PG,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PG,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PG,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PG,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PG,60,0.05,-0.02884898213116971,0.16438876497872607,-0.06549656930686165,0.5,-0.17549241966081516,-0.0017349131072665336,9,4,2.0,-0.009940357383359189
PG,20,0.05,-0.21016747692324744,0.18430291594853662,-0.13776837175018009,0.46153846153846156,-1.1403372314626483,-0.019125699284007508,26,4,6.5,-0.07736103873251987
PG,10,0.01,-0.22894813953652682,0.3392873751227018,-0.19590120103779962,0.3793103448275862,-0.6747912133592614,-0.007263536080168901,59,11,5.2727272727272725,-0.08490741878083707
PG,10,0.0,-0.3704389239610679,0.42715887628140475,-0.22350847320910805,0.38666666666666666,-0.8672157937718454,-0.010476616959250977,76,13,5.769230769230769,-0.14607901690500436
PG,60,0.03,-0.45684931012526264,0.2836227598655819,-0.22334658873507063,0.38461538461538464,-1.6107639257927626,-0.09286324678344476,14,2,6.5,-0.18803687761951127
PG,60,0.0,-0.5123468668011332,0.38389003600171406,-0.3171716305713901,0.4,-1.3346188198509157,-0.03217656388100735,26,6,4.166666666666667,-0.21736061916732974
PG,20,0.03,-0.553062763166539,0.3128816752787397,-0.24497595579017672,0.42857142857142855,-1.767641913428861,-0.036155102758615394,35,7,5.0,-0.24030425824049506
PG,20,0.0,-0.6356699069766056,0.4164050983042102,-0.31306701981895235,0.4461538461538462,-1.5265661000918118,-0.02675749991067301,66,11,5.909090909090909,-0.29148102854203306
PG,20,0.01,-0.6506676464558847,0.3847255800127034,-0.32285127460594343,0.40350877192982454,-1.691251323695191,-0.02775763367104379,58,12,4.75,-0.3015727410353458
PG,60,0.01,-0.6642281542425752,0.33889784864607925,-0.32790136487930377,0.3333333333333333,-1.959965685519142,-0.07699881783236495,19,4,4.5,-0.31094608277842883
