variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
PK,60,0.01,0.008903744372433131,0.03685206094805698,-0.02112474376168494,0.6666666666666666,0.2416077728999463,0.0005284388197977866,18,6,2.8333333333333335,0.0030297121539937244
PK,10,0.01,0.00304418831282538,0.07376957621412086,-0.032593898219996476,0.5,0.04126617596377985,0.00011112443890463897,64,16,3.9375,0.0010378497700074263
PK,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PK,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PK,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PK,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PK,60,0.05,-0.010362282587557115,0.031586668415807366,-0.018159203980099514,0.5714285714285714,-0.32805873829895177,-0.0005660348970699114,10,6,1.5,-0.003548473582334122
PK,60,0.03,-0.011687727268965165,0.03610511127628403,-0.02112474376168494,0.5833333333333334,-0.32371392458890863,-0.0007698349354509082,15,5,2.8,-0.004004123329368392
PK,10,0.03,-0.05253849940172306,0.058692360316200204,-0.04778249224064013,0.46875,-0.8951505633557122,-0.0012709505882649772,36,14,2.5,-0.0182494091497164
PK,60,0.0,-0.053299698754157965,0.053020178988861716,-0.02499037392662795,0.6086956521739131,-1.0052719506162922,-0.00204837066511327,26,9,2.7777777777777777,-0.01851865615209647
PK,20,0.0,-0.058528599905092626,0.0773853538793321,-0.04977667323328072,0.5161290322580645,-0.7563265782354238,-0.0018025965380496652,66,11,5.909090909090909,-0.020372058184029318
PK,20,0.05,-0.06342265479810483,0.041746115143978024,-0.02903729912953734,0.5238095238095238,-1.5192468707415447,-0.0022181250770469283,22,10,2.1,-0.022112926243035735
PK,20,0.01,-0.10363303804343826,0.07429004399169119,-0.05644019922053933,0.5,-1.3949788218597485,-0.002800872240783454,59,13,4.461538461538462,-0.03664833901192466
PK,10,0.0,-0.12301728626487685,0.1013223890826272,-0.07005221795411642,0.5070422535211268,-1.2141175053083058,-0.0025766697385876504,76,17,4.411764705882353,-0.043809204216931685
PK,10,0.05,-0.14326949282199986,0.045815747048026656,-0.054351905217613905,0.3333333333333333,-3.1270797062812634,-0.004361297321591924,22,12,1.75,-0.051402967572612535
PK,20,0.03,-0.14884589800589854,0.06121992057783252,-0.06021664250562786,0.4594594594594595,-2.431331119037665,-0.004180885974540207,38,13,2.8461538461538463,-0.0535146235774181
