variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
PP,20,0.0,0.8148029857011025,0.3189190229915287,-0.12442620762507717,0.5079365079365079,2.5548898841407333,0.058374565788152116,64,4,15.75,0.2197659198176123
PP,20,0.01,0.660003846699023,0.3160665038339666,-0.13884018430044942,0.46296296296296297,2.0881802996932906,0.0410944353183228,55,5,10.8,0.1840490621359374
PP,20,0.05,0.284575593097238,0.24827022844285448,-0.06933523945675468,0.4583333333333333,1.1462332591470592,0.017719988580142697,25,5,4.8,0.08705926544651388
PP,20,0.03,0.18255104712060555,0.2928043673122605,-0.12228949142831214,0.3684210526315789,0.623457391692264,0.01714572594293945,39,4,9.5,0.05748276763141358
PP,10,0.05,0.14587571171574876,0.22893502652097816,-0.0693352394567548,0.4,0.6371926302958347,0.015975104989529993,11,3,3.3333333333333335,0.04643559677849152
PP,10,0.0,0.13413163786025528,0.3241812273818832,-0.099182942876611,0.4657534246575342,0.4137551052647757,0.0030571757856253656,74,16,4.5625,0.042848342584565824
PP,10,0.03,0.12877155429354503,0.2549304465064918,-0.0837551271694309,0.34782608695652173,0.505124264512932,0.00896439187715814,24,5,4.6,0.04120285944161539
PP,10,0.01,0.07706595362848612,0.29761417130746337,-0.10137440138513687,0.46,0.25894584686583944,0.002808969211925517,51,11,4.545454545454546,0.025055623752292977
PP,60,0.01,0.0520134490213946,0.27335428392102357,-0.11954987450074572,0.5,0.19027852161417788,0.008101100438853703,21,3,6.666666666666667,0.01704561254919401
PP,60,0.0,0.03149874066670888,0.3038529981347772,-0.1655396332548369,0.5217391304347826,0.10366440634144174,0.014370762910301815,24,2,11.5,0.0103912285840011
PP,60,0.03,0.01297391298628936,0.22912795597588279,-0.07446920144111369,0.5384615384615384,0.05662300320810678,0.0015074701909210952,14,4,3.25,0.004306068818720643
PP,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PP,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PP,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PP,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PP,60,0.05,-0.13025920360631094,0.07872958216222163,-0.045454545454545414,0.0,-1.654514097863659,-0.045454545454545414,1,1,1.0,-0.045454545454545414
