variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
PR,10,0.01,0.12859462123154652,0.3871121805860027,-0.1759648767470352,0.5,0.33218955042148907,0.00677876591413365,37,8,4.5,0.028234268834653742
PR,10,0.0,0.08893419011278603,0.397202347415473,-0.17630735190501257,0.4782608695652174,0.22390147160877932,0.003932433934911505,48,11,4.2727272727272725,0.019802915127137943
PR,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PR,60,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PR,60,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PR,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PR,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PR,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PR,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PR,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PR,10,0.05,-0.08602446854479429,0.051583749166438674,-0.03013296054041381,0.3333333333333333,-1.6676660757485882,-0.010095344927038119,3,2,1.5,-0.020490279904349817
PR,20,0.05,-0.22886915059071522,0.09452395834293922,-0.06733647636506612,0.25,-2.4212819120456497,-0.028697102839364275,4,2,2.0,-0.05806368315381427
PR,10,0.03,-0.30798651997017923,0.148479851116981,-0.11666293786814641,0.6,-2.074264741332005,-0.01577253545398858,11,5,2.0,-0.08124234869970326
PR,20,0.03,-0.49365017922101806,0.31642602304468276,-0.22101891344482383,0.4,-1.5600808507184927,-0.02990340557105131,15,5,3.0,-0.14497908295395268
PR,20,0.0,-0.6951082897930027,0.3866110066481911,-0.3293247218778792,0.40540540540540543,-1.7979526651850821,-0.04093288783659007,38,6,6.166666666666667,-0.23919806217405004
PR,20,0.01,-0.712950426523857,0.37836982138715525,-0.32224912736759415,0.4,-1.8842687398008744,-0.0864143448857622,31,3,10.0,-0.24968427267303028
