variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
PT,20,0.01,1.9020767121664206,0.6921147675214471,-0.24314666370929205,0.5,2.748209981096061,0.041723452990961404,16,5,3.2,0.19431296821768118
PT,20,0.0,0.3010405337767963,0.7210169086516799,-0.3119524631817543,0.38095238095238093,0.4175221553954259,0.014883001210676483,22,4,5.25,0.044836825960085314
PT,20,0.03,0.2526725895094155,0.41806561836080913,-0.07717391304347809,0.5,0.6043850018093281,0.011812866491987595,6,4,1.5,0.038260333983309636
PT,10,0.03,0.13439453696565806,0.29593943549702617,-0.07717391304347809,0.42857142857142855,0.4541285170053268,0.006241235155217906,8,4,1.75,0.021238912321666747
PT,10,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PT,20,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PT,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PT,60,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PT,60,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PT,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PT,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PT,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PT,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PT,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PT,10,0.01,-0.7876409975399092,0.5482480266393958,-0.25754127464185805,0.35,-1.4366508574010275,-0.03514327613176579,21,7,2.857142857142857,-0.2275949353709168
PT,10,0.0,-0.9528090471221566,0.7370883985972773,-0.4334358774212641,0.3870967741935484,-1.292665912169298,-0.035984103665912016,32,13,2.3846153846153846,-0.39885885003634436
