variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
PX,20,0.01,1.0667261851332968,0.33030374644640526,-0.07947394095211646,0.5686274509803921,3.229530989611051,0.02377257061933704,52,11,4.636363636363637,0.2628185292178853
PX,20,0.0,0.9387429168133739,0.33520281500456717,-0.07947394095211646,0.5333333333333333,2.800522175807454,0.026740374158005984,61,9,6.666666666666667,0.23713534504221445
PX,20,0.03,0.23841725115972556,0.2755209807098539,-0.07947394095211657,0.5405405405405406,0.8653324713982431,0.010618034203507662,37,7,5.285714285714286,0.07114953827846193
PX,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PX,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PX,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PX,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PX,20,0.05,-0.009400192217090098,0.17259085835667354,-0.08731660895260984,0.48,-0.0544651802916688,-0.000269007258943077,25,4,6.25,-0.003031177954770925
PX,10,0.01,-0.028209499989651277,0.28932007811316124,-0.10058313562698273,0.49122807017543857,-0.09750273874396559,-4.887773488015945e-05,57,14,4.071428571428571,-0.009155519732666595
PX,10,0.0,-0.1426979885116212,0.34356984905244026,-0.15175275640370067,0.5142857142857142,-0.41533909015933673,-0.0024738375911053357,71,13,5.384615384615385,-0.048284140318862856
PX,10,0.03,-0.3054246498969515,0.19317957603618735,-0.11270039276753141,0.42857142857142855,-1.5810400672985112,-0.00957905957212162,28,12,2.3333333333333335,-0.11054479257691452
PX,10,0.05,-0.32806639249507674,0.18169142772718544,-0.12206244614362638,0.3333333333333333,-1.805623944942946,-0.025068687407201896,15,5,3.0,-0.11996942804845978
PX,60,0.0,-0.37909975641821503,0.28529616706109723,-0.21022686726037976,0.55,-1.328793724512357,-0.04812448654570889,21,3,6.666666666666667,-0.1420315802208938
PX,60,0.01,-0.43646786284708505,0.27902480792877277,-0.2344576824546919,0.5263157894736842,-1.5642618521522398,-0.08801264475427051,20,2,9.5,-0.16835467651325353
PX,60,0.03,-0.43646786284708505,0.27902480792877277,-0.2344576824546919,0.5263157894736842,-1.5642618521522398,-0.08801264475427051,20,2,9.5,-0.16835467651325353
PX,60,0.05,-0.43646786284708505,0.27902480792877277,-0.2344576824546919,0.5263157894736842,-1.5642618521522398,-0.08801264475427051,20,2,9.5,-0.16835467651325353
