variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
P,20,0.01,0.09598661190585411,0.15346299848031003,-0.0741244466094404,0.49122807017543857,0.6254707183905938,0.005284717386881077,57,6,9.5,0.03177340907314541
P,20,0.03,0.05138948571221125,0.10625252712373942,-0.07870800430620895,0.46153846153846156,0.4836542443114238,0.002654093475100927,39,7,5.571428571428571,0.017248997242758746
P,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
P,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
P,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
P,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
P,20,0.05,-0.0134617327882387,0.06824419701387045,-0.04489491028403825,0.42105263157894735,-0.19725827802622747,-0.0006953169104076395,19,6,3.1666666666666665,-0.004614605754147738
P,60,0.05,-0.06003804584697625,0.05530553496028166,-0.047259783723470505,0.4,-1.085570294005714,-0.005111869419312437,10,4,2.5,-0.020908347303543406
P,60,0.03,-0.06760168190041127,0.13348274165551743,-0.10120037201494736,0.5263157894736842,-0.5064451108958549,-0.011343763292709585,20,2,9.5,-0.023604200487732263
P,20,0.0,-0.08725380062411947,0.1943304618022876,-0.13898728635758173,0.47692307692307695,-0.44899703224547344,-0.005952611986278033,66,5,13.0,-0.030676677742047187
P,10,0.05,-0.13560948032729947,0.039919666791773105,-0.048517006929806206,0.0,-3.3970594252366535,-0.009889635052394995,5,5,1.0,-0.048517006929806206
P,10,0.03,-0.15050568938605735,0.09977782550906869,-0.05462942029960516,0.4375,-1.508408192082499,-0.006791997803344718,32,8,4.0,-0.05414490756822077
P,60,0.01,-0.15268367567250374,0.14178092519965327,-0.11404024544932567,0.4782608695652174,-1.076898570505852,-0.05497320113313631,24,1,23.0,-0.05497320113313631
P,60,0.0,-0.2761616864428622,0.15507928048225986,-0.1359580418547257,0.44,-1.7807774551446507,-0.053364963445886926,26,2,12.5,-0.1044292518350135
P,10,0.01,-0.37232450324788624,0.17758601124921825,-0.16597078704167723,0.4074074074074074,-2.0965868912128363,-0.01412034917954415,55,11,4.909090909090909,-0.14695269499324837
P,10,0.0,-0.37809891458330724,0.2031207837716921,-0.16076510105494257,0.41333333333333333,-1.8614486787737619,-0.012963511055148888,76,12,6.25,-0.149639055089258
