variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
RS,20,0.0,0.008613777788801569,0.07065742254562747,-0.018091889322468968,0.25,0.12190902920693389,0.0005630984875121259,4,2,2.0,0.0011237952667668694
RS,20,0.01,0.008613777788801569,0.07065742254562747,-0.018091889322468968,0.25,0.12190902920693389,0.0005630984875121259,4,2,2.0,0.0011237952667668694
RS,20,0.03,0.008613777788801569,0.07065742254562747,-0.018091889322468968,0.25,0.12190902920693389,0.0005630984875121259,4,2,2.0,0.0011237952667668694
RS,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
RS,60,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
RS,60,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
RS,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
RS,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
RS,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
RS,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
RS,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
RS,20,0.05,-0.13732492750338854,0.039210327931709706,-0.019158021907352274,0.0,-3.5022641928055074,-0.009588832826272486,3,2,1.5,-0.019158021907352274
RS,10,0.05,-0.2922250940369904,0.10323397401056847,-0.0516890196707559,0.25,-2.8307066238394945,-0.021955058140302186,4,2,2.0,-0.04425196474568627
RS,10,0.0,-0.47701888966950556,0.14613853557014972,-0.08852987789937394,0.2,-3.2641553975373316,-0.04039550946017029,6,2,3.0,-0.08138174453254443
RS,10,0.01,-0.47701888966950556,0.14613853557014972,-0.08852987789937394,0.2,-3.2641553975373316,-0.04039550946017029,6,2,3.0,-0.08138174453254443
RS,10,0.03,-0.47701888966950556,0.14613853557014972,-0.08852987789937394,0.2,-3.2641553975373316,-0.04039550946017029,6,2,3.0,-0.08138174453254443
