variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
SA,20,0.01,0.2614135391573269,0.21329639531212538,-0.05873140172278801,0.5,1.2255881716837724,0.005072910509041927,37,16,2.25,0.07849641656956607
SA,20,0.05,0.10037500587060455,0.08212559841745079,-0.01273885350318471,0.5,1.222213387845171,0.03161397670549082,2,1,2.0,0.03161397670549082
SA,10,0.01,0.07713384641056842,0.20657341175894786,-0.058743735399237496,0.4888888888888889,0.37339677819029543,0.0015856717074116647,48,18,2.611111111111111,0.024472839668627344
SA,60,0.03,0.05124187273337011,0.12669993203620167,-0.05873140172278768,0.45454545454545453,0.40443488729519517,0.0055185587276136054,12,3,3.6666666666666665,0.01639372189220345
SA,20,0.03,0.04294864251812114,0.11401235011820327,-0.03932961108793409,0.45454545454545453,0.37670166849112197,0.002172717551196349,13,7,1.7142857142857142,0.013777614510236846
SA,10,0.0,0.019448757359881608,0.2649508346565342,-0.11159713758176326,0.5074626865671642,0.07340515603618977,0.0007798344508657425,72,15,4.733333333333333,0.006287492843515041
SA,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SA,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SA,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SA,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SA,60,0.05,-0.04968123461597529,0.02882847980956858,-0.01644479248238062,0.0,-1.7233386895234548,-0.01644479248238062,1,1,1.0,-0.01644479248238062
SA,10,0.03,-0.0697086697100161,0.11052501954766535,-0.057142188248165304,0.5,-0.6307048846976528,-0.002894434410287567,15,7,2.0,-0.023238094028227185
SA,60,0.01,-0.08993188531438112,0.1471407373856151,-0.05991838567783192,0.4117647058823529,-0.6111963750643343,-0.004893486188505269,19,6,3.0,-0.030198667421390768
SA,60,0.0,-0.16477801521035484,0.15777086144292904,-0.08580808808673235,0.4,-1.0444134848687538,-0.008170962480561166,22,7,3.0,-0.05690684627915821
SA,10,0.05,-0.20747519754034172,0.06916447830869148,-0.07287326217094203,0.16666666666666666,-2.9997363186106702,-0.024585219964565013,6,3,2.0,-0.07287326217094203
SA,20,0.0,-0.3115074293286031,0.25536249873323,-0.1415090609607409,0.43859649122807015,-1.2198636482407939,-0.004938640470856213,62,23,2.652173913043478,-0.11436874841207878
