variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
SH,20,0.05,2.353274461349158,0.31686956888494466,-0.062211981566820285,0.6388888888888888,7.42663446550032,0.06026946089344398,37,6,6.0,0.3927669239623577
SH,10,0.03,1.8548641666367027,0.3332832772159546,-0.062211981566820174,0.6216216216216216,5.565428251099508,0.03921000583698868,38,8,4.625,0.33273448373289916
SH,10,0.05,1.51321806973516,0.31091143677920074,-0.062211981566820174,0.6428571428571429,4.867038940126859,0.054344117762146094,29,5,5.6,0.287024556191533
SH,20,0.01,1.3619192563082705,0.3577796835167078,-0.08889846637364851,0.5681818181818182,3.8065863408498175,0.05141080024157496,45,5,8.8,0.2653291836215239
SH,20,0.03,1.2032703552746162,0.3433987436148278,-0.08889846637364862,0.575,3.5040033711487917,0.040556642879850356,41,6,6.666666666666667,0.2414671390834482
SH,10,0.0,1.0520977711980461,0.3735380229294605,-0.09351107485563692,0.5344827586206896,2.816574770479861,0.02186418910254968,59,10,5.8,0.21753876923964732
SH,20,0.0,1.020045968475662,0.3638216423860337,-0.08889846637364873,0.5416666666666666,2.80369788280308,0.02682186980453559,49,8,6.0,0.2123019929545502
SH,10,0.01,0.9427158594528278,0.36646602399325656,-0.09649181244268878,0.5384615384615384,2.5724509169509666,0.02019077824992347,53,10,5.2,0.19941426338678303
SH,60,0.03,0.2435306835678046,0.14521839121704253,-0.029233105542900484,0.6,1.6769961540465292,0.030312523174992334,5,2,2.5,0.06149475542284644
SH,60,0.01,0.24310795820785058,0.14746592349120002,-0.031105990783410253,0.5714285714285714,1.64857041174233,0.030376325776084845,8,2,3.5,0.061395940664723536
SH,60,0.0,0.10344764501977366,0.16039347658376485,-0.062211981566820396,0.5,0.6449616731497714,0.027320208919244804,9,1,8.0,0.027320208919244804
SH,60,0.05,0.08776861577884199,0.09825995798999577,-0.02188940092165914,0.5,0.8932287126336655,0.023302531137002758,2,1,2.0,0.023302531137002758
SH,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SH,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SH,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SH,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
