variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
SI,10,0.05,0.11652102962657751,0.13898670438041294,-0.08505979198992986,0.5,0.8383609795340865,0.005016847825341937,22,7,3.142857142857143,0.03425111908292178
SI,10,0.01,0.05873000261128847,0.21629064513515325,-0.12951442662007073,0.4727272727272727,0.27153279132618025,0.0018780514092989551,56,11,5.0,0.01759101067583635
SI,10,0.03,0.013800755856533176,0.17461061983063694,-0.10808091285582022,0.42857142857142855,0.07903732241440514,0.0007149694355704561,42,10,4.2,0.004196846610365235
SI,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SI,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SI,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SI,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SI,20,0.03,-0.10520399564298777,0.12447009509854896,-0.07631874298540975,0.4827586206896552,-0.8452150338576724,-0.0047806176972422666,29,7,4.142857142857143,-0.03339505846003521
SI,20,0.05,-0.11306035852548446,0.11865805434362882,-0.07631874298540975,0.43478260869565216,-0.9528249822642999,-0.012083970454174642,23,3,7.666666666666667,-0.03599620769321643
SI,10,0.0,-0.12177528074291333,0.22755578576016403,-0.12951913364654732,0.45454545454545453,-0.5351447353277156,-0.0037724784753826457,67,9,7.333333333333333,-0.038900402920197696
SI,60,0.0,-0.1319928482454823,0.07338168226282205,-0.06818415249386167,0.4375,-1.7987165757898536,-0.04233094615797861,17,1,16.0,-0.04233094615797861
SI,60,0.01,-0.1319928482454823,0.07338168226282205,-0.06818415249386167,0.4375,-1.7987165757898536,-0.04233094615797861,17,1,16.0,-0.04233094615797861
SI,60,0.03,-0.1319928482454823,0.07338168226282205,-0.06818415249386167,0.4375,-1.7987165757898536,-0.04233094615797861,17,1,16.0,-0.04233094615797861
SI,60,0.05,-0.1319928482454823,0.07338168226282205,-0.06818415249386167,0.4375,-1.7987165757898536,-0.04233094615797861,17,1,16.0,-0.04233094615797861
SI,20,0.01,-0.2953975766206113,0.17747885401349311,-0.12259391942235076,0.4772727272727273,-1.6644099842911606,-0.010499155289016094,45,10,4.4,-0.10145778676769757
SI,20,0.0,-0.48997097468108486,0.1940072579771769,-0.20509331433120925,0.44642857142857145,-2.525529095095634,-0.015486214871905516,57,13,4.3076923076923075,-0.18594453758087603
