variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
SN,10,0.0,1.524336993029086,0.6255277176081661,-0.21864640693844517,0.5757575757575758,2.436881612309207,0.01731840344282427,34,10,3.3,0.17548258885905588
SN,20,0.01,1.2743561861512713,0.5095225500879471,-0.21864640693844506,0.6666666666666666,2.501079070850365,0.15427322994153436,22,1,21.0,0.15427322994153436
SN,20,0.0,0.8099939095000124,0.5351967429007424,-0.21864640693844506,0.6521739130434783,1.5134507454396708,0.1091524479261139,24,1,23.0,0.1091524479261139
SN,20,0.03,0.8028042435981144,0.5011645187111915,-0.21864640693844506,0.65,1.6018776541935331,0.108381920569665,20,1,20.0,0.108381920569665
SN,10,0.01,0.43382729131419073,0.5594911435985715,-0.21864640693844528,0.5384615384615384,0.7753961725361229,0.008410783415324141,27,8,3.25,0.064939278380024
SN,10,0.03,0.35904192669303314,0.5334726495664793,-0.21864640693844506,0.5263157894736842,0.6730278056144108,0.018956308608608825,19,3,6.333333333333333,0.05502531239363173
SN,20,0.05,0.23213734221101068,0.4744933268946977,-0.21864640693844506,0.631578947368421,0.48923204827815825,0.03712086157451755,19,1,19.0,0.03712086157451755
SN,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SN,60,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SN,60,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SN,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SN,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SN,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SN,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SN,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SN,10,0.05,-0.4383251199679695,0.42843004466176327,-0.21864640693844506,0.46153846153846156,-1.0230961283633089,-0.04814441236731898,13,2,6.5,-0.09581086123953642
