variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
SS,20,0.0,0.4475815248995316,0.09005270796061227,-0.017257608030355587,0.7692307692307693,4.9702172764787615,0.025309409621448786,14,2,6.5,0.051172667391912174
SS,20,0.01,0.26452526283023436,0.07054208276091897,-0.017257608030355587,0.7777777777777778,3.749893006799397,0.006369920912492622,10,5,1.8,0.03217212052521212
SS,20,0.03,0.10241616699027545,0.03410930049503743,0.0,1.0,3.0025877254555837,0.00661672183354256,2,2,1.0,0.013242252423478318
SS,10,0.05,0.08532805657396825,0.034441998761807265,-0.0014040014040013205,0.5,2.4774420661262124,0.011108861787594959,2,1,2.0,0.011108861787594959
SS,10,0.03,0.021178326623804145,0.07077601887547481,-0.01274765492017882,0.4,0.2992302613271573,0.0014163837742305896,5,2,2.5,0.0028315577068365183
SS,20,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SS,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SS,60,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SS,60,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SS,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SS,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SS,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SS,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SS,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
SS,10,0.01,-0.3030885536215119,0.1799672118511496,-0.07654502950383335,0.4117647058823529,-1.684132073303417,-0.009445090211470242,17,5,3.4,-0.04755167604545507
SS,10,0.0,-0.5665847592486515,0.19525721156369194,-0.1338658095584211,0.30434782608695654,-2.9017353813015725,-0.0157914431906763,24,7,3.2857142857142856,-0.10667213414578403
