variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
TA,10,0.01,0.7121971646072829,0.2140536611970915,-0.03593196242809571,0.5416666666666666,3.327189829990911,0.013530285332010505,50,13,3.769230769230769,0.18616213182852315
TA,10,0.0,0.682864432996559,0.3124036352484003,-0.18434091590411716,0.5294117647058824,2.185840227030635,0.008113662287072105,70,22,3.1363636363636362,0.17967297178470232
TA,60,0.01,0.463698123900131,0.17671513325958438,-0.02692420251682759,0.625,2.6239864993281876,0.03151076395718175,16,4,4.0,0.1285590580416487
TA,60,0.03,0.39891631406271344,0.16376796795643736,-0.018366054464851178,0.5555555555555556,2.4358628799059536,0.05555250622904706,9,2,4.5,0.11245663455819943
TA,20,0.05,0.2646388076408175,0.0948462443144538,-0.016616957818491818,0.6363636363636364,2.7901875245943573,0.07738349722103477,11,1,11.0,0.07738349722103477
TA,20,0.0,0.21927366398803705,0.3105435529834361,-0.14737743102988188,0.5517241379310345,0.7060963329666443,0.007403906429573781,60,10,5.9,0.0649610205991058
TA,20,0.03,0.1619759325988912,0.12902894202106094,-0.03199181301111753,0.55,1.2553457391943308,0.00856165120539254,20,6,3.3333333333333335,0.048811649317335615
TA,60,0.05,0.016228205392069706,0.06483116240797078,-0.02570263103835757,0.5,0.2503148916249341,0.0027815095234328124,6,2,3.0,0.005123536379455951
TA,60,0.0,0.011410635159919025,0.249891089820933,-0.1533943764250696,0.5789473684210527,0.04566243305471859,0.003735648488808008,20,5,3.8,0.0036084073476423395
TA,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TA,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TA,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TA,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TA,20,0.01,-0.06021915324517735,0.22777227015976337,-0.11546076127371885,0.5348837209302325,-0.2643831630730932,-0.0013397875820035316,44,9,4.777777777777778,-0.01952389826353229
TA,10,0.05,-0.09049025888359508,0.046753677528161564,-0.03546263790937687,0.4,-1.9354682597767687,-0.007456362943641298,5,4,1.25,-0.02966215549130613
TA,10,0.03,-0.09487370010936913,0.06758031523067856,-0.040184853098152784,0.47058823529411764,-1.4038659006772514,-0.004449458451248968,17,7,2.4285714285714284,-0.03114924089721982
