variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
TL,20,0.01,0.10026136687880105,0.04412233287217423,-0.021252542564172083,0.5666666666666667,2.272349632311281,0.003536442633173812,32,7,4.428571428571429,0.024951459616012528
TL,10,0.0,0.0699421322364473,0.05677771743362361,-0.026563100750507274,0.5192307692307693,1.231858824163082,0.0016297806546869459,55,11,4.909090909090909,0.017590609437379
TL,20,0.0,0.019922963997870857,0.04858425661425969,-0.021252542564172083,0.47619047619047616,0.41007036818637627,0.0008618955055872032,45,6,7.333333333333333,0.00510130659744279
TL,60,0.0,0.017974710559750084,0.0130243271506677,-0.0036013324930223023,0.75,1.3800874587850476,0.00460573230387995,5,1,4.0,0.00460573230387995
TL,60,0.01,0.017974710559750084,0.0130243271506677,-0.0036013324930223023,0.75,1.3800874587850476,0.00460573230387995,5,1,4.0,0.00460573230387995
TL,60,0.03,0.017974710559750084,0.0130243271506677,-0.0036013324930223023,0.75,1.3800874587850476,0.00460573230387995,4,1,4.0,0.00460573230387995
TL,10,0.01,0.012927506509990971,0.05255118123103447,-0.026037262155720886,0.48484848484848486,0.24599840017214572,0.00044438138647137637,34,8,4.25,0.0033186010305310543
TL,10,0.03,0.010195607406438434,0.005158616020264756,0.0,1.0,1.9764230108204806,0.0026199295329298877,1,1,1.0,0.0026199295329298877
TL,60,0.05,0.010195607406438434,0.005158616020264756,0.0,1.0,1.9764230108204806,0.0026199295329298877,1,1,1.0,0.0026199295329298877
TL,10,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TL,20,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TL,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TL,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TL,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TL,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TL,20,0.03,-0.04941680642377044,0.02060209373186663,-0.012987048647687849,0.0,-2.3986303075271507,-0.006508281424323636,2,2,1.0,-0.012987048647687849
