variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
TS,10,0.0,0.011774468880219713,0.002691157327479851,-0.00029264752871360766,0.6666666666666666,4.375243602441474,0.00048786076493945174,11,2,5.0,0.0009759500288715195
TS,10,0.03,0.010356384727400414,0.0016419709037386208,0.0,1.0,6.307288822122154,0.0008589624287620445,5,1,5.0,0.0008589624287620445
TS,10,0.01,0.007047166672320415,0.0019683504892360083,-0.00027335207747580803,0.8,3.5802397544838107,0.0005853755521219028,6,1,6.0,0.0005853755521219028
TS,10,0.05,0.005399716418346134,0.0012464141261861541,0.0,1.0,4.332200915331794,0.0004488665619393206,3,1,3.0,0.0004488665619393206
TS,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0
TS,20,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0
TS,20,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0
TS,20,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0
TS,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TS,60,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TS,60,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TS,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TS,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TS,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TS,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TS,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
