variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
T,10,0.01,0.02648752575935065,0.008374312182521958,-0.0019885803573526095,0.6538461538461539,3.1629494079087253,0.000978250960442284,27,5,5.2,0.0048877469057715395
T,10,0.0,0.007556956917769586,0.010245523485671664,-0.0036990742444664715,0.5555555555555556,0.7375862178577766,0.00023726302102298572,37,6,6.0,0.0014051198666669151
T,10,0.03,0.003715558984237255,0.0020522014595451827,-0.00046251350502202193,0.5,1.8105235073074708,0.00017302159365234493,4,4,1.0,0.0006919362904298509
T,20,0.0,0.0029260440099250218,0.009199567935054642,-0.004834770679411293,0.5,0.3180631993352025,9.330459547289098e-05,27,6,4.333333333333333,0.0005450820721211169
T,10,0.05,0.0014830334869391226,0.0014479417486162327,-0.0002776877863654992,0.5,1.0242356008841007,0.000138292365477799,2,2,1.0,0.00027643081624728616
T,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
T,60,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
T,60,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
T,60,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
T,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
T,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
T,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
T,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
T,20,0.03,-0.005424819824102145,0.002347979766279851,-0.001014011799410075,0.0,-2.3104201756803264,-0.001014011799410075,1,1,1.0,-0.001014011799410075
T,20,0.05,-0.005424819824102145,0.002347979766279851,-0.001014011799410075,0.0,-2.3104201756803264,-0.001014011799410075,1,1,1.0,-0.001014011799410075
T,20,0.01,-0.009613746358597575,0.00669372185721856,-0.004742830063250825,0.47368421052631576,-1.4362333188717782,-0.0002990726739224292,19,6,3.1666666666666665,-0.0018000924394260265
