variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
Y,60,0.05,0.19755918022053032,0.09051982631863423,-0.02629151291512921,0.75,2.182496235963957,0.02841367365378461,13,2,6.5,0.05663277714616344
Y,60,0.0,0.10800506652815156,0.0971712745860033,-0.02872060810340482,0.6666666666666666,1.1114917138661138,0.03183434165863619,17,1,16.0,0.03183434165863619
Y,60,0.01,0.10800506652815156,0.0971712745860033,-0.02872060810340482,0.6666666666666666,1.1114917138661138,0.03183434165863619,17,1,16.0,0.03183434165863619
Y,60,0.03,0.10800506652815156,0.0971712745860033,-0.02872060810340482,0.6666666666666666,1.1114917138661138,0.03183434165863619,17,1,16.0,0.03183434165863619
Y,20,0.0,0.09421482767009959,0.12581820627890553,-0.05068782823662343,0.5,0.7488171263644496,0.005014526750080739,57,6,9.333333333333334,0.027893252813982583
Y,10,0.05,0.06756376936337904,0.022142009399251213,-0.0024950099800399306,0.8333333333333334,3.051383826332577,0.020177853445595417,6,1,6.0,0.020177853445595417
Y,20,0.01,0.03470102306962053,0.08865009927941685,-0.04103190278738922,0.5121951219512195,0.3914380621306034,0.002919691794965873,43,4,10.5,0.01047778101244945
Y,10,0.03,0.011428632266443195,0.06709836889507052,-0.04403494191189761,0.6,0.1703265288656341,0.0007269868791493891,22,7,3.142857142857143,0.003478313307474279
Y,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
Y,120,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
Y,120,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
Y,120,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
Y,20,0.03,-0.018714946712657055,0.080023338816264,-0.03981721683940742,0.5172413793103449,-0.23386860620283711,-0.0012768414568751496,29,4,7.25,-0.0057560136895151714
Y,20,0.05,-0.041756526917666736,0.061906561086834275,-0.03981721683940731,0.45454545454545453,-0.6745089080153596,-0.006493144539719942,11,2,5.5,-0.012948417555609049
Y,10,0.01,-0.27652147938262484,0.11293848816374816,-0.10546200396997119,0.4807692307692308,-2.4484255445468657,-0.015864218312438432,54,6,9.0,-0.09416994992990646
Y,10,0.0,-0.3055254229134494,0.13263240778276414,-0.12391299726291172,0.421875,-2.3035503013250214,-0.01799966439117162,67,6,11.0,-0.10542404929225879
