variety,N,s,annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return
EG,10,0.01,3.3598883711436436,0.3148308793128759,-0.06351968675222963,0.639344262295082,10.672042013403072,0.06707609991706741,63,9,7.0,0.6722794746966014
EB,20,0.0,2.6699097129163065,0.3453982984314324,-0.10756693210228374,0.582089552238806,7.72994460320519,0.045049356624427266,68,11,6.090909090909091,0.5746398705497755
SH,20,0.05,2.353274461349158,0.31686956888494466,-0.062211981566820285,0.6388888888888888,7.42663446550032,0.06026946089344398,37,6,6.0,0.3927669239623577
AG,60,0.0,2.091905021658572,0.6813490102594194,-0.2593984675743639,0.6129032258064516,3.0702400534229763,0.5099808852584757,32,1,31.0,0.5099808852584757
PT,20,0.01,1.9020767121664206,0.6921147675214471,-0.24314666370929205,0.5,2.748209981096061,0.041723452990961404,16,5,3.2,0.19431296821768118
FU,10,0.01,1.7051975307075553,0.5304422166951589,-0.13904666650365238,0.5370370370370371,3.214671602368933,0.03055927692442149,57,14,4.0,0.38240780387121
SN,10,0.0,1.524336993029086,0.6255277176081661,-0.21864640693844517,0.5757575757575758,2.436881612309207,0.01731840344282427,34,10,3.3,0.17548258885905588
AU,60,0.0,1.374018228814767,0.3754568956037066,-0.12456503574280475,0.7,3.659589808852621,0.11091282420470372,31,3,10.0,0.3664428177630368
LC,20,0.0,1.3494749585149552,0.7759971666623894,-0.2636935169265364,0.4909090909090909,1.7390204713235338,0.03387728615393326,57,9,6.222222222222222,0.2982316572784529
ZN,10,0.03,1.202826867565503,0.1377538577098363,-0.026134950322274975,0.6818181818181818,8.731710948517525,0.0261608012056614,22,5,4.4,0.13355168738509104
PS,20,0.03,1.2026894266882118,0.285868869927147,-0.07422999822990395,0.6206896551724138,4.207136744181744,0.0651404973992746,30,4,7.25,0.2728911765922566
JM,20,0.0,1.1727946789082,0.37374448150591916,-0.10244206191669947,0.5076923076923077,3.137958516959737,0.028464547716943657,66,10,6.5,0.3032097320306584
BZ,60,0.0,1.1222678553585137,0.3496340472036414,-0.07648017381857697,0.6470588235294118,3.2098357249082734,0.09129471255325135,18,3,5.666666666666667,0.26227052628561776
L,60,0.03,1.095459337037393,0.27967479155726566,-0.06353040008400712,0.55,3.91690409756894,0.2871907626168495,21,1,20.0,0.2871907626168495
PX,20,0.01,1.0667261851332968,0.33030374644640526,-0.07947394095211646,0.5686274509803921,3.229530989611051,0.02377257061933704,52,11,4.636363636363637,0.2628185292178853
MA,20,0.0,0.9233694882193646,0.4473417412934854,-0.09929328621908129,0.5238095238095238,2.064125483907333,0.02045214251610376,66,12,5.416666666666667,0.25009218486651497
AO,20,0.0,0.8418705013305268,0.24180313609367218,-0.06572507731007204,0.5614035087719298,3.4816359908764554,0.017939263780139273,59,11,5.2727272727272725,0.2110347920558875
PP,20,0.0,0.8148029857011025,0.3189190229915287,-0.12442620762507717,0.5079365079365079,2.5548898841407333,0.058374565788152116,64,4,15.75,0.2197659198176123
TA,10,0.01,0.7121971646072829,0.2140536611970915,-0.03593196242809571,0.5416666666666666,3.327189829990911,0.013530285332010505,50,13,3.769230769230769,0.18616213182852315
EC,10,0.03,0.6990489638224906,0.6816935477764893,-0.1615357938167724,0.6363636363636364,1.0254592640675715,0.02225205013121842,11,4,2.75,0.07639839353506117
